"name","jobType","cronExpression","enabled","id"
"Credentials expiry alert","CREDENTIALS_EXPIRY_ALERT","0 0 2 ? * *",TRUE,"sHMedQF7VYa"
"Data statistics","DATA_STATISTICS","0 0 2 ? * *",TRUE,"BFa3jDsbtdO"
"Data value trim","DATA_VALUE_TRIM","0 0 1 ? * *",TRUE,"D2datatrim8"
"Dataset notification","DATA_SET_NOTIFICATION","0 0 2 ? * *",TRUE,"YvAwAmrqAtN"
"File resource clean up","FILE_RESOURCE_CLEANUP","0 0 2 ? * *",TRUE,"pd6O228pqr0"
"Housekeeping","HOUSEKEEPING",,TRUE,"DHIS2rocks1"
"Remove expired or used reserved values","REMOVE_USED_OR_EXPIRED_RESERVED_VALUES","0 0 2 ? * *",TRUE,"uwWCT2BMmlq"
"System version update check notification","SYSTEM_VERSION_UPDATE_CHECK","19 4 4 ? * *",TRUE,"vt21671bgno"
"User account expiry alert","ACCOUNT_EXPIRY_ALERT","0 0 2 ? * *",TRUE,"fUWM1At1TUx"
"Validation result notification","VALIDATION_RESULTS_NOTIFICATION","0 0 7 ? * *",TRUE,"Js3vHn2AVuG"
