"zone","region","district","file","status","min_value","max_value","na_cells","zero_cells","one_cells"
"Somaliland","Sanag","Badhan","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sanag__badhan__friction_100m.tif","saved",0,1,0,2121137,9199
"Somaliland","Sahil","Berbera","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sahil__berbera__friction_100m.tif","saved",0,1,0,2658034,13874
"Somaliland","Awdal","Borama","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__awdal__borama__friction_100m.tif","saved",0,1,0,258934,3234
"Puntland","Nugal","Burtinle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__nugal__burtinle__friction_100m.tif","saved",0,1,0,578532,4217
"Somaliland","Sanag","El Afweyn","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sanag__el_afweyn__friction_100m.tif","saved",0,1,0,3005531,9228
"Somaliland","Sanag","Erigavo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sanag__erigavo__friction_100m.tif","saved",0,1,0,2058871,8849
"Puntland","Nugal","Eyl","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__nugal__eyl__friction_100m.tif","saved",0,1,0,1656167,10162
"Somaliland","Marodijeh","Gabiley","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__marodijeh__gabiley__friction_100m.tif","saved",0,1,0,275546,4037
"Puntland","Mudug","Goldogob","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__mudug__goldogob__friction_100m.tif","saved",0,1,0,493954,3224
"Somaliland","Marodijeh","Hargeisa","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__marodijeh__hargeisa__friction_100m.tif","saved",0,1,0,1429144,9022
"Galmudug State","South Mudug","Hobyo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__south_mudug__hobyo__friction_100m.tif","saved",0,1,0,3200465,9780
"Somaliland","Sool","Hudun","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sool__hudun__friction_100m.tif","saved",0,1,0,1125347,6424
"Puntland","Mudug","Jariban","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__mudug__jariban__friction_100m.tif","saved",0,1,0,2407260,9343
"Somaliland","Sool","Las Anod","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sool__las_anod__friction_100m.tif","saved",0,1,0,1784159,9338
"Somaliland","Awdal","Lughaya","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__awdal__lughaya__friction_100m.tif","saved",0,1,0,1126052,9054
"Somaliland","Sool","Taleh","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__sool__taleh__friction_100m.tif","saved",0,1,0,1604733,8859
"Somaliland","Awdal","Zeila","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__awdal__zeila__friction_100m.tif","saved",0,1,0,1285859,8733
"Puntland","Nugal","Dangoroyo","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__nugal__dangoroyo__friction_100m.tif","saved",0,1,0,1372594,7449
"Puntland","Nugal","Garowe","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/puntland__nugal__garowe__friction_100m.tif","saved",0,1,0,2185238,11498
"Galmudug State","South Mudug","Haradhere","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__south_mudug__haradhere__friction_100m.tif","saved",0,1,0,569070,4410
"Galmudug State","South Mudug","Galkayu South","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/galmudug_state__south_mudug__galkayu_south__friction_100m.tif","saved",0,1,0,833900,6314
"Somaliland","Togdheer","Buhodle","C:/Users/epuser/Documents/Github/somalia_polio_analytics/health_area_adjuster/modular_health_area_app/data/friction/district_standardized/somaliland__togdheer__buhodle__friction_100m.tif","saved",0,1,0,481561,5123
