"zone_name","region_name","district_name","friction_file","min_friction","max_friction","non_na_cells"
"Somaliland","Sanag","Badhan","data/friction/district_standardized/somaliland__sanag__badhan__friction_100m.tif",0.5,1e+06,1711142
"Somaliland","Sahil","Berbera","data/friction/district_standardized/somaliland__sahil__berbera__friction_100m.tif",0.5,1e+06,1017361
"Somaliland","Awdal","Borama","data/friction/district_standardized/somaliland__awdal__borama__friction_100m.tif",0.754033148288727,1e+06,166863
"Puntland","Nugal","Burtinle","data/friction/district_standardized/puntland__nugal__burtinle__friction_100m.tif",0.474999994039536,1e+06,241005
"Somaliland","Sanag","El Afweyn","data/friction/district_standardized/somaliland__sanag__el_afweyn__friction_100m.tif",0.5,1e+06,875169
"Somaliland","Sanag","Erigavo","data/friction/district_standardized/somaliland__sanag__erigavo__friction_100m.tif",0.5,1e+06,1049824
"Puntland","Nugal","Eyl","data/friction/district_standardized/puntland__nugal__eyl__friction_100m.tif",0.5,1e+06,492081
"Somaliland","Marodijeh","Gabiley","data/friction/district_standardized/somaliland__marodijeh__gabiley__friction_100m.tif",0.5,1e+06,327915
"Puntland","Mudug","Goldogob","data/friction/district_standardized/puntland__mudug__goldogob__friction_100m.tif",0.5,1e+06,161892
"Somaliland","Marodijeh","Hargeisa","data/friction/district_standardized/somaliland__marodijeh__hargeisa__friction_100m.tif",0.566023230552673,1e+06,887344
"Galmudug State","South Mudug","Hobyo","data/friction/district_standardized/galmudug_state__south_mudug__hobyo__friction_100m.tif",0.5,1e+06,1576975
"Somaliland","Sool","Hudun","data/friction/district_standardized/somaliland__sool__hudun__friction_100m.tif",0.5,1e+06,522757
"Puntland","Mudug","Jariban","data/friction/district_standardized/puntland__mudug__jariban__friction_100m.tif",0.5,1e+06,1433909
"Somaliland","Sool","Las Anod","data/friction/district_standardized/somaliland__sool__las_anod__friction_100m.tif",0.474999994039536,1e+06,1236424
"Somaliland","Awdal","Lughaya","data/friction/district_standardized/somaliland__awdal__lughaya__friction_100m.tif",0.5,1e+06,331019
"Somaliland","Sool","Taleh","data/friction/district_standardized/somaliland__sool__taleh__friction_100m.tif",0.474999994039536,1e+06,812289
"Somaliland","Awdal","Zeila","data/friction/district_standardized/somaliland__awdal__zeila__friction_100m.tif",0.5,1e+06,406950
"Puntland","Nugal","Dangoroyo","data/friction/district_standardized/puntland__nugal__dangoroyo__friction_100m.tif",0.474999994039536,1e+06,605765
"Puntland","Nugal","Garowe","data/friction/district_standardized/puntland__nugal__garowe__friction_100m.tif",0.489832311868668,1e+06,778330
"Galmudug State","South Mudug","Haradhere","data/friction/district_standardized/galmudug_state__south_mudug__haradhere__friction_100m.tif",0.515952050685883,1e+06,433061
"Galmudug State","South Mudug","Galkayu South","data/friction/district_standardized/galmudug_state__south_mudug__galkayu_south__friction_100m.tif",0.5,1e+06,629309
"Somaliland","Togdheer","Buhodle","data/friction/district_standardized/somaliland__togdheer__buhodle__friction_100m.tif",0.660750448703766,1e+06,519802
"Somaliland","Togdheer","Aynabo","data/friction/district_standardized/somaliland__togdheer__aynabo__friction_100m.tif",0.5,1e+06,755423
"Somaliland","Sahil","Sheikh","data/friction/district_standardized/somaliland__sahil__sheikh__friction_100m.tif",0.485738515853882,1e+06,354018
"Somaliland","Togdheer","Odwayne","data/friction/district_standardized/somaliland__togdheer__odwayne__friction_100m.tif",0.496670335531235,1e+06,725088
"South West State","Bay","Burhakaba","data/friction/district_standardized/south_west_state__bay__burhakaba__friction_100m.tif",0.479622572660446,1e+06,1247809
"South West State","Lower Shabelle","Qoryoley","data/friction/district_standardized/south_west_state__lower_shabelle__qoryoley__friction_100m.tif",0.686344921588898,1e+06,154734
"South West State","Lower Shabelle","Sablale","data/friction/district_standardized/south_west_state__lower_shabelle__sablale__friction_100m.tif",0.474999994039536,1e+06,173920
"Jubaland State","Middle Juba","Buaale","data/friction/district_standardized/jubaland_state__middle_juba__buaale__friction_100m.tif",0.474999994039536,1e+06,265243
"Jubaland State","Lower Juba","Afmadow","data/friction/district_standardized/jubaland_state__lower_juba__afmadow__friction_100m.tif",0.5,1e+06,1014470
"Hir-Shabelle State","Hiran","Jalalaqsi","data/friction/district_standardized/hir_shabelle_state__hiran__jalalaqsi__friction_100m.tif",0.474999994039536,1e+06,283755
"Hir-Shabelle State","Middle Shabelle","Adale","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__adale__friction_100m.tif",0.53463339805603,1e+06,305576
"South West State","Lower Shabelle","Wanleweyne","data/friction/district_standardized/south_west_state__lower_shabelle__wanleweyne__friction_100m.tif",0.699415147304535,1e+06,345773
"South West State","Lower Shabelle","Kurtunwaarey","data/friction/district_standardized/south_west_state__lower_shabelle__kurtunwaarey__friction_100m.tif",0.474999994039536,1e+06,157383
"South West State","Bay","Dinsoor","data/friction/district_standardized/south_west_state__bay__dinsoor__friction_100m.tif",0.5,1e+06,749813
"South West State","Bay","Qansah Dheere","data/friction/district_standardized/south_west_state__bay__qansah_dheere__friction_100m.tif",0.5,1e+06,253284
"Jubaland State","Gedo","Belet Hawa","data/friction/district_standardized/jubaland_state__gedo__belet_hawa__friction_100m.tif",0.5,1e+06,297459
"Jubaland State","Gedo","El Wak","data/friction/district_standardized/jubaland_state__gedo__el_wak__friction_100m.tif",0.474999994039536,1e+06,718246
"Jubaland State","Gedo","Bardera","data/friction/district_standardized/jubaland_state__gedo__bardera__friction_100m.tif",0.528842628002167,1e+06,884106
"Jubaland State","Lower Juba","Badhadhe","data/friction/district_standardized/jubaland_state__lower_juba__badhadhe__friction_100m.tif",0.449999988079071,1e+06,327769
"Galmudug State","Galgadud","Adado","data/friction/district_standardized/galmudug_state__galgadud__adado__friction_100m.tif",0.5,1e+06,647445
"Jubaland State","Lower Juba","Kismayo","data/friction/district_standardized/jubaland_state__lower_juba__kismayo__friction_100m.tif",0.425000011920929,1e+06,528635
"South West State","Lower Shabelle","Marka","data/friction/district_standardized/south_west_state__lower_shabelle__marka__friction_100m.tif",0.740985751152039,1e+06,128138
"South West State","Lower Shabelle","Brava","data/friction/district_standardized/south_west_state__lower_shabelle__brava__friction_100m.tif",0.5,1e+06,211031
"Jubaland State","Middle Juba","Jilib East","data/friction/district_standardized/jubaland_state__middle_juba__jilib_east__friction_100m.tif",0.474999994039536,1e+06,265630
"Jubaland State","Lower Juba","Jamaame West","data/friction/district_standardized/jubaland_state__lower_juba__jamaame_west__friction_100m.tif",0.748628914356232,1e+06,124030
"Jubaland State","Lower Juba","Jamaame East","data/friction/district_standardized/jubaland_state__lower_juba__jamaame_east__friction_100m.tif",0.5,1e+06,95077
"Jubaland State","Middle Juba","Sakow","data/friction/district_standardized/jubaland_state__middle_juba__sakow__friction_100m.tif",0.5,1e+06,181863
"Jubaland State","Middle Juba","Salagle","data/friction/district_standardized/jubaland_state__middle_juba__salagle__friction_100m.tif",0.474999994039536,1e+06,263655
"Jubaland State","Gedo","Burdubo","data/friction/district_standardized/jubaland_state__gedo__burdubo__friction_100m.tif",0.683229863643646,1e+06,268870
"South West State","Bay","Berdale","data/friction/district_standardized/south_west_state__bay__berdale__friction_100m.tif",0.5,1e+06,371003
"South West State","Bay","Baidoa","data/friction/district_standardized/south_west_state__bay__baidoa__friction_100m.tif",0.474999994039536,1e+06,677971
"South West State","Lower Shabelle","Afgoi","data/friction/district_standardized/south_west_state__lower_shabelle__afgoi__friction_100m.tif",0.817231357097626,1e+06,169606
"Hir-Shabelle State","Middle Shabelle","Balad","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__balad__friction_100m.tif",0.766236662864685,1e+06,222823
"Hir-Shabelle State","Middle Shabelle","Warsheikh","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__warsheikh__friction_100m.tif",0.709917545318604,5.99082899093628,149836
"Hir-Shabelle State","Middle Shabelle","Jowhar","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__jowhar__friction_100m.tif",0.474999994039536,1e+06,264227
"Hir-Shabelle State","Middle Shabelle","Mahaday","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__mahaday__friction_100m.tif",0.5,1e+06,309079
"Hir-Shabelle State","Middle Shabelle","Runingod","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__runingod__friction_100m.tif",0.5,5.99713897705078,107554
"Hir-Shabelle State","Middle Shabelle","Aden Yabal","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__aden_yabal__friction_100m.tif",0.474999994039536,1e+06,369018
"Galmudug State","Galgadud","Elgaras","data/friction/district_standardized/galmudug_state__galgadud__elgaras__friction_100m.tif",0.474999994039536,1e+06,760095
"Hir-Shabelle State","Hiran","Bulo Burti","data/friction/district_standardized/hir_shabelle_state__hiran__bulo_burti__friction_100m.tif",0.425000011920929,1e+06,656235
"Hir-Shabelle State","Hiran","Mahas","data/friction/district_standardized/hir_shabelle_state__hiran__mahas__friction_100m.tif",0.449999988079071,1e+06,326431
"Hir-Shabelle State","Hiran","Belet Weyne","data/friction/district_standardized/hir_shabelle_state__hiran__belet_weyne__friction_100m.tif",0.425000011920929,1e+06,890057
"Hir-Shabelle State","Hiran","Mataban","data/friction/district_standardized/hir_shabelle_state__hiran__mataban__friction_100m.tif",0.5,1e+06,376798
"Galmudug State","Galgadud","Guriel","data/friction/district_standardized/galmudug_state__galgadud__guriel__friction_100m.tif",0.730406165122986,1e+06,195609
"Galmudug State","Galgadud","Dusamreb","data/friction/district_standardized/galmudug_state__galgadud__dusamreb__friction_100m.tif",0.5,1e+06,734540
"Galmudug State","Galgadud","El Bur","data/friction/district_standardized/galmudug_state__galgadud__el_bur__friction_100m.tif",0.5,1e+06,450106
"Galmudug State","Galgadud","Galad","data/friction/district_standardized/galmudug_state__galgadud__galad__friction_100m.tif",0.5,5.98512363433838,213099
